ticket,resolution
Why is my invoice showing duplicate charges?,"We apologize for the error. Please check if both charges are from the same transaction date. If duplicate charges persist, contact our billing team and we will refund the extra charge within 2-3 business days."
My app keeps crashing on startup,"Try clearing app cache and data, then reinstall. Ensure your device meets minimum requirements (4GB RAM, Android 8.0+/iOS 12.0+). If issue persists, contact tech support with your device model."
How do I update my password?,"Go to Settings > Account > Change Password. Enter your current password and new password twice. Click Save. You'll be logged out and need to log in with your new password."
Can I upgrade my plan mid-month?,"Yes, you can upgrade anytime. The new plan starts immediately, and we'll prorate your charges based on the remaining days in your billing cycle."
The search feature isn't working properly,"Clear your search cache in Settings > Advanced. Try searching with fewer keywords. If search is still slow, wait 10 minutes while our index updates. Contact support if unresolved."
What are your business hours?,"We provide 24/7 customer support. Live chat available Mon-Fri 9AM-6PM EST. Email support responses within 24 hours."
Do you offer student discounts?,"Yes! Students get 50% off annual plans. Verify with a valid .edu email address in your account settings."
How do I export my data?,"Navigate to Settings > Data Export > Choose Format (CSV/JSON) > Click Export. Your data will be emailed within 1 hour."
What are your pricing plans?,"We offer three main plans: Starter (₹999/month, up to 5 users), Professional (₹2999/month, up to 25 users), and Enterprise (custom pricing, unlimited users). All plans include email support. We also offer quarterly and annual billing with discounts."
What is included in the Professional plan?,"The Professional plan includes: up to 25 users, AI chatbot integration, advanced analytics, API access, and priority email support. Billed at ₹2999/month."
What is the Enterprise plan pricing?,"Enterprise plan pricing is custom based on your specific needs. It includes unlimited users, dedicated account manager, 24/7 premium support, advanced AI automation, custom integrations, and SLA guarantee. Contact sales for a quote."
Can I change my plan after purchasing?,"Yes! You can upgrade or downgrade your plan anytime. If upgrading, the change takes effect immediately and we prorate the charges. If downgrading, changes take effect at the end of your current billing cycle."
What payment methods do you accept?,"We accept major credit cards (Visa, MasterCard, American Express), PayPal, and bank transfers for enterprise customers. All payments are secure and processed through industry-standard payment gateways."
Do you offer annual billing discounts?,"Yes! We offer significant discounts for annual plans: 15% off Starter plan, 20% off Professional plan, and custom discounts for Enterprise. Annual billing provides the best value."
